timestamp,value,date,hour,weekday
2024-12-17 18:00:00+00:00,50.31,2024-12-17,18,1
2024-12-17 19:00:00+00:00,48.63,2024-12-17,19,1
2024-12-17 20:00:00+00:00,48.42,2024-12-17,20,1
2024-12-17 21:00:00+00:00,50.39,2024-12-17,21,1
2024-12-17 22:00:00+00:00,51.28,2024-12-17,22,1
2024-12-17 23:00:00+00:00,50.89,2024-12-17,23,1
2024-12-18 00:00:00+00:00,50.49,2024-12-18,0,2
2024-12-18 01:00:00+00:00,50.77,2024-12-18,1,2
2024-12-18 02:00:00+00:00,50.49,2024-12-18,2,2
2024-12-18 03:00:00+00:00,49.8,2024-12-18,3,2
2024-12-18 04:00:00+00:00,49.58,2024-12-18,4,2
2024-12-18 05:00:00+00:00,49.05,2024-12-18,5,2
2024-12-18 06:00:00+00:00,48.6,2024-12-18,6,2
2024-12-18 07:00:00+00:00,48.84,2024-12-18,7,2
2024-12-18 08:00:00+00:00,53.39,2024-12-18,8,2
2024-12-18 09:00:00+00:00,54.76,2024-12-18,9,2
2024-12-18 10:00:00+00:00,52.85,2024-12-18,10,2
2024-12-18 11:00:00+00:00,53.71,2024-12-18,11,2
2024-12-18 12:00:00+00:00,49.24,2024-12-18,12,2
2024-12-18 13:00:00+00:00,42.72,2024-12-18,13,2
2024-12-18 14:00:00+00:00,41.09,2024-12-18,14,2
2024-12-18 15:00:00+00:00,44.57,2024-12-18,15,2
2024-12-18 16:00:00+00:00,50.97,2024-12-18,16,2
2024-12-18 17:00:00+00:00,53.59,2024-12-18,17,2
2024-12-18 18:00:00+00:00,52.96,2024-12-18,18,2
2024-12-18 19:00:00+00:00,51.63,2024-12-18,19,2
2024-12-18 20:00:00+00:00,51.29,2024-12-18,20,2
2024-12-18 21:00:00+00:00,51.14,2024-12-18,21,2
2024-12-18 22:00:00+00:00,50.54,2024-12-18,22,2
2024-12-18 23:00:00+00:00,47.62,2024-12-18,23,2
2024-12-19 00:00:00+00:00,44.37,2024-12-19,0,3
2024-12-19 01:00:00+00:00,43.24,2024-12-19,1,3
2024-12-19 02:00:00+00:00,42.99,2024-12-19,2,3
2024-12-19 03:00:00+00:00,41.47,2024-12-19,3,3
2024-12-19 04:00:00+00:00,40.24,2024-12-19,4,3
2024-12-19 05:00:00+00:00,38.75,2024-12-19,5,3
2024-12-19 06:00:00+00:00,38.57,2024-12-19,6,3
2024-12-19 07:00:00+00:00,38.71,2024-12-19,7,3
2024-12-19 08:00:00+00:00,39.03,2024-12-19,8,3
2024-12-19 09:00:00+00:00,41.0,2024-12-19,9,3
2024-12-19 10:00:00+00:00,43.66,2024-12-19,10,3
2024-12-19 11:00:00+00:00,43.99,2024-12-19,11,3
2024-12-19 12:00:00+00:00,43.72,2024-12-19,12,3
2024-12-19 13:00:00+00:00,44.79,2024-12-19,13,3
2024-12-19 14:00:00+00:00,45.23,2024-12-19,14,3
2024-12-19 15:00:00+00:00,43.97,2024-12-19,15,3
2024-12-19 16:00:00+00:00,43.46,2024-12-19,16,3
2024-12-19 17:00:00+00:00,43.16,2024-12-19,17,3
2024-12-19 18:00:00+00:00,46.0,2024-12-19,18,3
2024-12-19 19:00:00+00:00,49.23,2024-12-19,19,3
2024-12-19 20:00:00+00:00,49.55,2024-12-19,20,3
2024-12-19 21:00:00+00:00,48.59,2024-12-19,21,3
2024-12-19 22:00:00+00:00,46.82,2024-12-19,22,3
2024-12-19 23:00:00+00:00,45.52,2024-12-19,23,3
2024-12-20 00:00:00+00:00,44.51,2024-12-20,0,4
2024-12-20 01:00:00+00:00,42.82,2024-12-20,1,4
2024-12-20 02:00:00+00:00,42.3,2024-12-20,2,4
2024-12-20 03:00:00+00:00,41.5,2024-12-20,3,4
2024-12-20 04:00:00+00:00,41.11,2024-12-20,4,4
2024-12-20 05:00:00+00:00,40.59,2024-12-20,5,4
2024-12-20 06:00:00+00:00,39.89,2024-12-20,6,4
2024-12-20 07:00:00+00:00,39.03,2024-12-20,7,4
2024-12-20 08:00:00+00:00,39.74,2024-12-20,8,4
2024-12-20 09:00:00+00:00,39.21,2024-12-20,9,4
2024-12-20 10:00:00+00:00,37.65,2024-12-20,10,4
2024-12-20 11:00:00+00:00,43.88,2024-12-20,11,4
2024-12-20 12:00:00+00:00,42.34,2024-12-20,12,4
2024-12-20 13:00:00+00:00,40.28,2024-12-20,13,4
2024-12-20 14:00:00+00:00,40.21,2024-12-20,14,4
2024-12-20 15:00:00+00:00,40.13,2024-12-20,15,4
2024-12-20 16:00:00+00:00,39.64,2024-12-20,16,4
2024-12-20 17:00:00+00:00,39.15,2024-12-20,17,4
